国家,电影数量,平均评分,评分中位数,最高评分,平均评价人数
1964(中国大陆),1,9.4,9.4,9.4,488906.0
2021,1,9.2,9.2,9.2,314972.0
中国台湾,3,9.0,9.1,9.2,693061.0
中国大陆,9,9.18888888888889,9.2,9.6,1170649.5555555555
中国香港,11,8.91818181818182,8.8,9.3,1026024.5454545454
丹麦,1,9.1,9.1,9.1,447335.0
伊朗,1,9.2,9.2,9.2,448222.0
印度,2,9.1,9.1,9.2,1851542.5
德国,2,9.25,9.25,9.3,672725.5
意大利,6,9.183333333333334,9.25,9.5,1017972.0
新西兰,1,9.1,9.1,9.1,926205.0
日本,17,9.005882352941176,9.0,9.4,817285.5294117647
法国,5,9.08,9.3,9.4,1408498.0
瑞典,1,8.9,8.9,8.9,544017.0
美国,70,9.074285714285715,9.1,9.7,1079823.9714285715
英国,9,9.033333333333333,9.0,9.3,796330.8888888889
西班牙,1,8.8,8.8,8.8,1393524.0
韩国,8,8.9875,8.9,9.3,889738.0
黎巴嫩,1,9.1,9.1,9.1,1131807.0
